_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
68b5888b7e95b1d68ba149e5,TATAMOTORS,EQ,N,2025-09-01,2025-08-31T18:30:00.000Z,691.5,670.55,671.3,690.15,689.7,669.0,7644947,5222394748.45,1105.0,535.75,131092,INE155A01022,2025-09-01T11:50:35.537Z,2025-09-01T11:50:35.537Z,0,,683.12,01-Sep-2025,,
68b1942ab94a204b2669f40b,TATAMOTORS,EQ,N,2025-08-29,2025-08-28T18:30:00.000Z,681.15,668.0,675.45,669.0,669.5,675.45,8201917,5524051280.95,1142.0,535.75,131621,INE155A01022,2025-08-29T11:51:06.769Z,2025-08-29T11:51:06.769Z,0,,673.51,29-Aug-2025,,
68b0428b2fd519fe1fcd3b9d,TATAMOTORS,EQ,N,2025-08-28,2025-08-27T18:30:00.000Z,680.9,667.8,679.9,675.45,676.15,681.65,9466045,6379403445.15,1142.0,535.75,168975,INE155A01022,2025-08-28T11:50:35.493Z,2025-08-28T11:50:35.493Z,0,,673.92,28-Aug-2025,,
68ad9f8a411e45d5136fc3fc,TATAMOTORS,EQ,N,2025-08-26,2025-08-25T18:30:00.000Z,686.95,678.3,686.8,681.65,680.55,686.8,7496633,5109385662.3,1142.0,535.75,127051,INE155A01022,2025-08-26T11:50:34.729Z,2025-08-26T11:50:34.729Z,0,,681.56,26-Aug-2025,,
68ac4e0bf79a617f435ad7ec,TATAMOTORS,EQ,N,2025-08-25,2025-08-24T18:30:00.000Z,688.9,680.3,683.75,686.8,686.1,680.3,6429311,4413190580.95,1142.0,535.75,155326,INE155A01022,2025-08-25T11:50:35.601Z,2025-08-25T11:50:35.601Z,0,,686.42,25-Aug-2025,,
68a8598c7da0ce69a9c427aa,TATAMOTORS,EQ,N,2025-08-22,2025-08-21T18:30:00.000Z,691.5,678.6,685.9,680.3,680.95,685.4,6429718,4385256896.7,1142.0,535.75,120866,INE155A01022,2025-08-22T11:50:36.347Z,2025-08-22T11:50:36.347Z,0,,682.03,22-Aug-2025,,
68a708a1d848c521c2a3a584,TATAMOTORS,EQ,N,2025-08-21,2025-08-20T18:30:00.000Z,694.95,685.0,694.0,685.4,685.2,689.6,8432614,5819635636.4,1142.0,535.75,112606,INE155A01022,2025-08-21T11:53:05.765Z,2025-08-21T11:53:05.765Z,0,,690.13,21-Aug-2025,,
68a5b68c7f00702256883a2f,TATAMOTORS,EQ,N,2025-08-20,2025-08-19T18:30:00.000Z,700.8,689.0,700.25,689.6,690.0,700.25,10050137,6952191897.35,1142.0,535.75,160634,INE155A01022,2025-08-20T11:50:36.147Z,2025-08-20T11:50:36.147Z,0,,691.75,20-Aug-2025,,
68a4650c69bdf8aec9089eaf,TATAMOTORS,EQ,N,2025-08-19,2025-08-18T18:30:00.000Z,703.35,673.1,676.75,700.25,700.5,676.0,19440384,13513030546.9,1142.0,535.75,282726,INE155A01022,2025-08-19T11:50:36.031Z,2025-08-19T11:50:36.031Z,0,,695.1,19-Aug-2025,,
68a3138ca37b86ece1556e97,TATAMOTORS,EQ,N,2025-08-18,2025-08-17T18:30:00.000Z,685.0,672.9,677.0,676.0,675.9,664.6,14226172,9655302555.25,1142.0,535.75,165366,INE155A01022,2025-08-18T11:50:36.305Z,2025-08-18T11:50:36.305Z,0,,678.7,18-Aug-2025,,
